ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached.on.Time_Y.N;Late_or_ontime;Customer_satisfaction;Customer_segmentation;Weight_category
76;B;Ship;4;1;266;3;low;Female;23;3775;1;Late;Dissatisfied;Occasional;Medium weight
77;C;Ship;2;3;158;2;medium;Female;36;1788;1;Late;Neutral;Occasional;Light weight
78;E;Ship;3;3;113;3;low;Female;43;1518;1;Late;Neutral;Occasional;Light weight
79;D;Ship;3;4;223;3;low;Male;18;3959;1;Late;Satisfied;Occasional;Medium weight
80;E;Ship;3;5;257;2;medium;Female;56;3711;1;Late;Satisfied;Occasional;Medium weight
81;A;Ship;3;4;180;2;medium;Female;49;1942;1;Late;Satisfied;Occasional;Light weight
82;B;Ship;2;5;132;3;low;Male;18;1759;1;Late;Satisfied;Occasional;Light weight
83;C;Ship;4;4;217;3;high;Female;26;2875;1;Late;Satisfied;Occasional;Light weight
84;E;Ship;5;5;162;3;high;Female;31;1364;1;Late;Satisfied;Occasional;Light weight
85;D;Ship;4;5;197;2;medium;Female;40;2710;1;Late;Satisfied;Occasional;Light weight
86;E;Ship;3;4;197;3;medium;Male;13;2148;1;Late;Satisfied;Occasional;Light weight
87;A;Ship;4;1;185;2;low;Male;44;2910;1;Late;Dissatisfied;Occasional;Light weight
88;B;Ship;6;2;278;3;medium;Female;3;2974;1;Late;Dissatisfied;Occasional;Light weight
89;C;Ship;3;3;229;3;low;Male;49;2339;1;Late;Neutral;Occasional;Light weight
90;E;Ship;4;1;186;4;medium;Female;57;3880;1;Late;Dissatisfied;Regular;Medium weight
91;D;Ship;5;3;174;6;high;Female;41;1085;1;Late;Neutral;Regular;Light weight
92;E;Ship;5;5;286;3;low;Female;18;3163;1;Late;Satisfied;Occasional;Medium weight
93;A;Ship;4;4;175;2;medium;Female;7;1188;1;Late;Satisfied;Occasional;Light weight
94;B;Ship;3;3;219;3;medium;Female;17;3387;1;Late;Neutral;Occasional;Medium weight
95;C;Ship;4;1;213;4;high;Female;35;2343;1;Late;Dissatisfied;Regular;Light weight
96;E;Ship;2;3;235;3;low;Male;57;2034;1;Late;Neutral;Occasional;Light weight
97;D;Ship;3;3;149;2;medium;Male;18;1225;1;Late;Neutral;Occasional;Light weight
98;E;Ship;4;1;271;2;medium;Female;8;2401;1;Late;Dissatisfied;Occasional;Light weight
99;A;Ship;3;5;144;4;medium;Male;5;1104;1;Late;Satisfied;Regular;Light weight
100;B;Ship;4;2;145;2;medium;Male;21;1617;1;Late;Dissatisfied;Occasional;Light weight
101;C;Ship;5;3;143;2;medium;Male;59;1837;1;Late;Neutral;Occasional;Light weight
102;E;Ship;5;5;227;4;low;Male;53;2624;1;Late;Satisfied;Regular;Light weight
103;D;Ship;2;1;213;3;low;Male;29;2732;1;Late;Dissatisfied;Occasional;Light weight
104;E;Ship;5;1;144;4;low;Male;37;1658;1;Late;Dissatisfied;Regular;Light weight
105;A;Ship;3;3;218;3;low;Male;3;2255;1;Late;Neutral;Occasional;Light weight
106;B;Ship;4;2;144;3;medium;Male;59;1588;1;Late;Dissatisfied;Occasional;Light weight
107;C;Ship;3;1;238;3;low;Male;17;2624;1;Late;Dissatisfied;Occasional;Light weight
108;E;Ship;4;5;216;3;high;Male;26;2053;1;Late;Satisfied;Occasional;Light weight
109;D;Ship;4;5;238;3;high;Female;55;3257;1;Late;Satisfied;Occasional;Medium weight
110;E;Ship;4;1;141;3;medium;Male;47;1250;1;Late;Dissatisfied;Occasional;Light weight
111;A;Road;3;1;158;2;low;Male;2;1284;1;Late;Dissatisfied;Occasional;Light weight
112;B;Road;4;2;239;3;low;Female;65;3679;1;Late;Dissatisfied;Occasional;Medium weight
113;C;Road;4;3;175;2;low;Male;25;1816;1;Late;Neutral;Occasional;Light weight
114;E;Road;3;2;263;3;low;Male;41;2817;1;Late;Dissatisfied;Occasional;Light weight
115;D;Road;3;5;168;2;high;Male;50;1616;1;Late;Satisfied;Occasional;Light weight
116;E;Road;3;4;176;3;high;Male;36;1779;1;Late;Satisfied;Occasional;Light weight
117;A;Road;4;1;150;4;high;Male;60;1024;1;Late;Dissatisfied;Regular;Light weight
118;B;Road;4;3;265;2;medium;Female;31;2326;1;Late;Neutral;Occasional;Light weight
119;C;Road;2;5;263;3;low;Female;5;2947;1;Late;Satisfied;Occasional;Light weight
120;E;Road;5;1;145;3;low;Male;20;1387;1;Late;Dissatisfied;Occasional;Light weight
121;D;Road;4;2;183;3;low;Female;33;2741;1;Late;Dissatisfied;Occasional;Light weight
122;E;Road;3;3;205;3;medium;Female;19;2167;1;Late;Neutral;Occasional;Light weight
123;A;Road;4;2;160;3;low;Male;64;1714;1;Late;Dissatisfied;Occasional;Light weight
124;B;Road;3;3;252;2;medium;Female;48;2102;1;Late;Neutral;Occasional;Light weight
125;C;Road;5;5;222;3;low;Male;10;2280;1;Late;Satisfied;Occasional;Light weight
126;E;Road;3;3;203;2;low;Male;25;3607;1;Late;Neutral;Occasional;Medium weight
127;D;Road;4;5;220;3;medium;Male;40;3516;1;Late;Satisfied;Occasional;Medium weight
128;E;Road;3;3;147;4;low;Female;60;1722;1;Late;Neutral;Regular;Light weight
129;A;Road;4;4;200;4;medium;Male;16;2060;1;Late;Satisfied;Regular;Light weight
130;B;Road;4;5;224;4;medium;Male;21;2026;1;Late;Satisfied;Regular;Light weight
131;C;Road;3;5;179;2;low;Female;17;1364;1;Late;Satisfied;Occasional;Light weight
132;E;Road;3;4;144;3;low;Male;50;1865;1;Late;Satisfied;Occasional;Light weight
133;D;Flight;5;2;247;3;low;Male;17;3889;1;Late;Dissatisfied;Occasional;Medium weight
134;E;Flight;5;4;280;6;medium;Female;51;3582;1;Late;Satisfied;Regular;Medium weight
135;A;Flight;3;3;168;2;medium;Female;1;1829;1;Late;Neutral;Occasional;Light weight
136;B;Flight;3;5;157;3;medium;Female;4;1889;1;Late;Satisfied;Occasional;Light weight
137;C;Flight;3;3;189;4;medium;Female;51;2208;1;Late;Neutral;Regular;Light weight
138;E;Flight;3;5;162;2;medium;Male;7;1739;1;Late;Satisfied;Occasional;Light weight
139;D;Flight;4;1;207;5;low;Male;48;2399;1;Late;Dissatisfied;Regular;Light weight
140;E;Flight;5;1;237;2;low;Female;10;3860;1;Late;Dissatisfied;Occasional;Medium weight
141;A;Flight;4;4;264;3;high;Male;59;2020;1;Late;Satisfied;Occasional;Light weight
142;B;Flight;5;4;149;3;low;Male;51;1645;1;Late;Satisfied;Occasional;Light weight
143;C;Flight;5;5;162;3;low;Male;41;1462;1;Late;Satisfied;Occasional;Light weight
144;E;Flight;2;1;205;4;medium;Female;63;2156;1;Late;Dissatisfied;Regular;Light weight
145;D;Flight;2;1;158;3;medium;Female;51;1540;1;Late;Dissatisfied;Occasional;Light weight
146;E;Flight;2;2;248;2;low;Male;46;3707;1;Late;Dissatisfied;Occasional;Medium weight
147;A;Flight;3;5;191;3;low;Male;23;3750;1;Late;Satisfied;Occasional;Medium weight
148;B;Flight;4;3;146;4;medium;Female;24;1844;1;Late;Neutral;Regular;Light weight
149;C;Flight;3;3;135;3;low;Male;56;1490;1;Late;Neutral;Occasional;Light weight
150;E;Flight;5;1;149;3;low;Male;40;1062;1;Late;Dissatisfied;Occasional;Light weight
151;D;Flight;4;4;220;2;medium;Female;7;2551;1;Late;Satisfied;Occasional;Light weight
152;E;Flight;5;3;98;5;medium;Male;44;1269;1;Late;Neutral;Regular;Light weight
153;A;Flight;3;4;97;4;low;Male;32;1238;1;Late;Satisfied;Regular;Light weight
154;B;Flight;3;3;183;2;low;Male;53;3932;1;Late;Neutral;Occasional;Medium weight
155;C;Ship;3;3;162;3;medium;Female;8;1869;1;Late;Neutral;Occasional;Light weight
156;E;Ship;5;1;114;4;low;Female;47;1443;1;Late;Dissatisfied;Regular;Light weight
157;D;Ship;6;3;275;5;low;Male;41;2491;1;Late;Neutral;Regular;Light weight
158;E;Ship;3;2;203;2;medium;Female;39;3845;1;Late;Dissatisfied;Occasional;Medium weight
159;A;Ship;5;5;205;2;high;Male;65;3671;1;Late;Satisfied;Occasional;Medium weight
160;B;Ship;3;3;149;3;low;Female;63;1946;1;Late;Neutral;Occasional;Light weight
161;C;Ship;2;2;112;4;medium;Male;56;1138;1;Late;Dissatisfied;Regular;Light weight
162;E;Ship;3;1;207;3;medium;Female;56;3482;1;Late;Dissatisfied;Occasional;Medium weight
163;D;Ship;4;1;261;4;low;Female;58;3427;1;Late;Dissatisfied;Regular;Medium weight
164;E;Ship;5;2;274;3;medium;Male;6;3375;1;Late;Dissatisfied;Occasional;Medium weight
165;A;Ship;3;5;141;2;low;Male;52;1692;1;Late;Satisfied;Occasional;Light weight
166;B;Ship;3;3;166;4;medium;Female;17;1498;1;Late;Neutral;Regular;Light weight
167;C;Ship;5;2;141;3;high;Female;34;1020;1;Late;Dissatisfied;Occasional;Light weight
168;E;Ship;4;5;152;3;low;Male;43;1709;1;Late;Satisfied;Occasional;Light weight
169;D;Ship;4;2;250;3;low;Female;53;2478;1;Late;Dissatisfied;Occasional;Light weight
170;E;Ship;4;3;161;3;medium;Female;28;1809;1;Late;Neutral;Occasional;Light weight
171;A;Ship;4;3;185;3;medium;Female;10;2263;1;Late;Neutral;Occasional;Light weight
172;B;Ship;4;4;176;4;high;Female;52;1096;1;Late;Satisfied;Regular;Light weight
173;C;Ship;3;4;148;3;low;Male;56;1550;1;Late;Satisfied;Occasional;Light weight
174;E;Ship;3;2;270;3;low;Female;63;2751;1;Late;Dissatisfied;Occasional;Light weight
175;D;Ship;3;3;242;3;low;Female;51;3935;1;Late;Neutral;Occasional;Medium weight
176;E;Ship;4;4;150;2;medium;Male;3;1285;1;Late;Satisfied;Occasional;Light weight
177;A;Ship;4;5;192;3;high;Male;20;3872;1;Late;Satisfied;Occasional;Medium weight
178;B;Ship;4;5;116;3;medium;Male;54;1314;1;Late;Satisfied;Occasional;Light weight
179;C;Ship;3;3;192;3;medium;Female;2;3995;1;Late;Neutral;Occasional;Medium weight
180;E;Ship;5;5;255;4;medium;Male;3;3440;1;Late;Satisfied;Regular;Medium weight
181;D;Ship;4;1;161;7;medium;Female;18;1294;1;Late;Dissatisfied;Loyal;Light weight
182;E;Ship;4;5;157;3;low;Male;20;1487;1;Late;Satisfied;Occasional;Light weight
183;A;Ship;3;2;164;10;high;Female;28;1940;1;Late;Dissatisfied;Loyal;Light weight
184;B;Ship;3;5;162;7;medium;Female;16;1052;1;Late;Satisfied;Loyal;Light weight
185;C;Ship;3;3;146;2;low;Male;50;1486;1;Late;Neutral;Occasional;Light weight
186;E;Ship;3;2;209;3;medium;Male;54;3001;1;Late;Dissatisfied;Occasional;Medium weight
187;D;Ship;5;4;134;2;medium;Female;55;1386;1;Late;Satisfied;Occasional;Light weight
188;E;Ship;2;1;222;2;medium;Male;5;3778;1;Late;Dissatisfied;Occasional;Medium weight
189;A;Ship;2;5;139;3;low;Female;27;1233;1;Late;Satisfied;Occasional;Light weight
190;B;Ship;2;4;134;3;low;Female;42;1415;1;Late;Satisfied;Occasional;Light weight
191;C;Ship;2;5;130;3;low;Male;16;1092;1;Late;Satisfied;Occasional;Light weight
192;E;Ship;2;5;133;3;low;Female;62;1596;1;Late;Satisfied;Occasional;Light weight
193;D;Ship;2;4;140;3;low;Female;7;1411;1;Late;Satisfied;Occasional;Light weight
194;E;Ship;2;2;158;3;low;Male;28;1968;1;Late;Dissatisfied;Occasional;Light weight
195;A;Ship;4;2;270;4;low;Female;46;1736;1;Late;Dissatisfied;Regular;Light weight
196;B;Ship;2;5;140;3;low;Female;30;1030;1;Late;Satisfied;Occasional;Light weight
197;C;Ship;2;2;135;3;low;Male;15;1339;1;Late;Dissatisfied;Occasional;Light weight
198;E;Ship;2;3;136;3;low;Female;19;1568;1;Late;Neutral;Occasional;Light weight
199;D;Ship;2;3;142;3;medium;Female;38;7640;1;Late;Neutral;Occasional;Heavy weight
200;E;Ship;2;2;154;3;medium;Male;38;7846;1;Late;Dissatisfied;Occasional;Heavy weight
201;A;Ship;2;3;139;3;low;Male;9;1471;1;Late;Neutral;Occasional;Light weight
202;B;Ship;2;3;160;3;low;Female;43;1251;1;Late;Neutral;Occasional;Light weight
203;C;Ship;2;4;134;3;low;Male;58;1067;1;Late;Satisfied;Occasional;Light weight
204;E;Ship;5;3;161;5;high;Male;48;1883;1;Late;Neutral;Regular;Light weight
205;D;Ship;2;5;155;3;low;Male;23;1602;1;Late;Satisfied;Occasional;Light weight
206;E;Ship;2;3;145;3;medium;Female;24;7588;1;Late;Neutral;Occasional;Heavy weight
207;A;Ship;2;2;157;3;low;Male;1;1477;1;Late;Dissatisfied;Occasional;Light weight
208;B;Ship;2;2;160;3;low;Male;48;1691;1;Late;Dissatisfied;Occasional;Light weight
209;C;Ship;2;4;152;3;low;Male;55;1498;1;Late;Satisfied;Occasional;Light weight
210;E;Ship;2;5;148;3;high;Female;11;1502;1;Late;Satisfied;Occasional;Light weight
211;D;Ship;2;1;127;3;low;Female;15;1522;1;Late;Dissatisfied;Occasional;Light weight
212;E;Ship;2;5;154;3;low;Female;21;1113;1;Late;Satisfied;Occasional;Light weight
213;A;Ship;2;5;127;3;low;Male;44;1341;1;Late;Satisfied;Occasional;Light weight
214;B;Ship;2;5;160;3;medium;Female;31;7401;1;Late;Satisfied;Occasional;Heavy weight
215;C;Ship;2;4;129;3;low;Female;48;1219;1;Late;Satisfied;Occasional;Light weight
216;E;Ship;2;5;158;3;low;Female;40;1722;1;Late;Satisfied;Occasional;Light weight
217;D;Ship;4;3;185;3;medium;Male;3;3131;1;Late;Neutral;Occasional;Medium weight
218;E;Ship;4;4;176;4;high;Female;63;1293;1;Late;Satisfied;Regular;Light weight
219;A;Ship;3;4;148;3;low;Male;37;1523;1;Late;Satisfied;Occasional;Light weight
220;B;Ship;3;5;270;3;low;Male;60;3885;1;Late;Satisfied;Occasional;Medium weight
221;C;Ship;3;4;242;3;low;Male;29;2381;1;Late;Satisfied;Occasional;Light weight
222;E;Ship;4;3;150;2;medium;Male;31;1588;1;Late;Neutral;Occasional;Light weight
223;D;Ship;4;2;192;3;high;Male;4;2061;1;Late;Dissatisfied;Occasional;Light weight
224;E;Ship;4;5;116;3;medium;Female;9;1314;1;Late;Satisfied;Occasional;Light weight
225;A;Ship;3;4;192;3;medium;Female;31;3331;1;Late;Satisfied;Occasional;Medium weight
226;B;Ship;5;4;255;4;medium;Female;38;2771;1;Late;Satisfied;Regular;Light weight
227;C;Ship;4;3;161;7;medium;Male;63;1496;1;Late;Neutral;Loyal;Light weight
228;E;Ship;4;2;157;3;low;Female;48;1393;1;Late;Dissatisfied;Occasional;Light weight
229;D;Ship;3;2;164;10;high;Male;14;1375;1;Late;Dissatisfied;Loyal;Light weight
230;E;Ship;3;3;162;7;medium;Female;42;1278;1;Late;Neutral;Loyal;Light weight
231;A;Ship;3;1;146;2;low;Female;54;1528;1;Late;Dissatisfied;Occasional;Light weight
232;B;Ship;3;4;209;3;medium;Female;60;2240;1;Late;Satisfied;Occasional;Light weight
233;C;Ship;5;5;134;2;medium;Male;53;1088;1;Late;Satisfied;Occasional;Light weight
234;E;Ship;2;1;222;2;medium;Male;58;3626;1;Late;Dissatisfied;Occasional;Medium weight
235;D;Ship;2;1;139;3;low;Female;39;1582;1;Late;Dissatisfied;Occasional;Light weight
236;E;Ship;2;2;134;3;low;Male;38;1352;1;Late;Dissatisfied;Occasional;Light weight
237;A;Ship;2;3;130;3;low;Female;48;1801;1;Late;Neutral;Occasional;Light weight
238;B;Ship;2;2;133;3;low;Male;5;1268;1;Late;Dissatisfied;Occasional;Light weight
239;C;Ship;2;3;140;3;low;Female;23;1372;1;Late;Neutral;Occasional;Light weight
240;E;Ship;2;3;158;3;low;Male;10;1515;1;Late;Neutral;Occasional;Light weight
241;D;Ship;4;5;270;4;low;Male;65;1818;1;Late;Satisfied;Regular;Light weight
242;E;Ship;2;4;140;3;low;Female;33;1278;1;Late;Satisfied;Occasional;Light weight
243;A;Ship;2;2;135;3;low;Male;58;1734;1;Late;Dissatisfied;Occasional;Light weight
244;B;Ship;2;4;136;3;low;Male;43;1958;1;Late;Satisfied;Occasional;Light weight
245;C;Ship;2;1;142;3;medium;Female;8;6064;1;Late;Dissatisfied;Occasional;Heavy weight
246;E;Ship;2;4;154;3;medium;Female;48;7684;1;Late;Satisfied;Occasional;Heavy weight
247;D;Ship;2;3;139;3;low;Female;3;1788;1;Late;Neutral;Occasional;Light weight
248;E;Road;2;4;160;3;low;Female;50;1030;1;Late;Satisfied;Occasional;Light weight
249;A;Road;2;2;134;3;low;Female;38;1530;1;Late;Dissatisfied;Occasional;Light weight
250;B;Road;5;5;161;5;high;Female;54;1511;1;Late;Satisfied;Regular;Light weight
251;C;Road;2;3;155;3;low;Female;45;1639;1;Late;Neutral;Occasional;Light weight
252;E;Road;2;2;145;3;medium;Female;5;6102;1;Late;Dissatisfied;Occasional;Heavy weight
253;D;Road;2;1;157;3;low;Male;58;1930;1;Late;Dissatisfied;Occasional;Light weight
254;E;Road;2;5;160;3;low;Female;19;1399;1;Late;Satisfied;Occasional;Light weight
255;A;Road;2;2;152;3;low;Female;61;1800;1;Late;Dissatisfied;Occasional;Light weight
256;B;Road;2;2;148;3;high;Female;35;1349;1;Late;Dissatisfied;Occasional;Light weight
257;C;Road;2;2;127;3;low;Male;13;1128;1;Late;Dissatisfied;Occasional;Light weight
258;E;Road;2;2;129;3;medium;Female;22;6614;1;Late;Dissatisfied;Occasional;Heavy weight
259;D;Road;2;3;158;3;low;Female;13;1245;1;Late;Neutral;Occasional;Light weight
260;E;Road;2;4;147;3;low;Male;5;1920;1;Late;Satisfied;Occasional;Light weight
261;A;Road;2;5;159;3;low;Female;49;1621;1;Late;Satisfied;Occasional;Light weight
262;B;Road;2;3;151;3;low;Female;23;1930;1;Late;Neutral;Occasional;Light weight
263;C;Road;3;1;294;4;low;Female;52;1089;1;Late;Dissatisfied;Regular;Light weight
264;E;Road;3;2;226;2;medium;Male;45;1446;1;Late;Dissatisfied;Occasional;Light weight
265;D;Road;5;3;271;5;high;Male;9;1813;1;Late;Neutral;Regular;Light weight
266;E;Road;7;2;203;5;medium;Female;61;1856;1;Late;Dissatisfied;Regular;Light weight
267;A;Road;2;3;264;4;low;Female;10;1648;1;Late;Neutral;Regular;Light weight
268;B;Road;4;1;258;3;medium;Male;36;2211;1;Late;Dissatisfied;Occasional;Light weight
269;C;Road;3;5;241;3;low;Female;21;3078;1;Late;Satisfied;Occasional;Medium weight
270;E;Flight;4;5;208;3;medium;Male;23;2056;1;Late;Satisfied;Occasional;Light weight
271;D;Flight;3;2;209;5;medium;Female;12;3054;1;Late;Dissatisfied;Regular;Medium weight
272;E;Flight;5;1;182;2;medium;Female;23;2707;1;Late;Dissatisfied;Occasional;Light weight
273;A;Flight;4;5;148;2;medium;Female;43;1087;1;Late;Satisfied;Occasional;Light weight
274;B;Flight;2;3;183;2;medium;Female;52;3199;1;Late;Neutral;Occasional;Medium weight
275;C;Flight;3;5;229;6;medium;Male;22;2717;1;Late;Satisfied;Regular;Light weight
276;E;Flight;5;5;115;5;low;Female;26;1692;1;Late;Satisfied;Regular;Light weight
277;D;Flight;4;2;136;3;low;Female;65;1962;1;Late;Dissatisfied;Occasional;Light weight
278;E;Flight;4;4;212;3;low;Male;21;3307;1;Late;Satisfied;Occasional;Medium weight
279;A;Flight;4;3;171;3;low;Female;24;1304;1;Late;Neutral;Occasional;Light weight
280;B;Flight;3;1;151;2;low;Male;60;1925;1;Late;Dissatisfied;Occasional;Light weight
281;C;Flight;3;1;205;3;medium;Male;39;3062;1;Late;Dissatisfied;Occasional;Medium weight
282;E;Flight;5;4;147;3;medium;Male;23;1132;1;Late;Satisfied;Occasional;Light weight
283;D;Flight;3;3;155;3;low;Female;29;1712;1;Late;Neutral;Occasional;Light weight
284;E;Flight;5;4;165;3;low;Female;20;1150;1;Late;Satisfied;Occasional;Light weight
285;A;Flight;5;5;230;3;low;Female;32;3249;1;Late;Satisfied;Occasional;Medium weight
286;B;Flight;2;4;181;4;medium;Male;13;2309;1;Late;Satisfied;Regular;Light weight
287;C;Flight;5;3;234;2;low;Female;55;3308;1;Late;Neutral;Occasional;Medium weight
